Posted Date,Skill,Company,Workplace,Company Type,Company Industry,Company Size,Country
2024-08-28 09:21:20.095789,JavaScript,LG Electronics Development Vietnam (LGEDV),Hybrid,IT Product,Software Products and Web Services,1000+,South Korea
2024-08-28 09:21:20.095789,Java,Giao Hàng Tiết Kiệm,At office,IT Product,"Transportation, Logistics and Warehouse",1000+,Vietnam
2024-08-28 09:21:20.095789,.NET,"Esoft Vietnam., Ltd",Hybrid,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Vietnam
2024-08-28 09:21:20.095789,.NET,Ngân hàng TMCP Thịnh vượng và Phát triển (PGBank),At office,IT Product,Banking,1000+,Vietnam
2024-08-28 09:21:20.095789,Product Manager,Trusting Social,At office,IT Service and IT Consulting,Financial Services,301-500,Singapore
2024-08-28 09:21:20.095789,Java,LEAP,At office,IT Product,Professional Services,1-50,Vietnam
2024-08-28 09:21:20.095789,Automation Test,"MONEY FORWARD VIETNAM CO.,LTD",Hybrid,IT Product,Financial Services,301-500,Japan
2024-08-28 09:21:20.095789,System Engineer,HSC,At office,IT Product,Financial Services,501-1000,Vietnam
2024-08-28 09:21:20.095789,Software Architect,VNG Corporation,At office,IT Product,Software Products and Web Services,1000+,Vietnam
2024-08-28 09:21:20.095789,Cloud,LG CNS Việt Nam,At office,IT Product,Manufacturing and Engineering,151-300,Vietnam
2024-08-28 09:21:20.095789,NodeJS,Silicon Prime Labs,At office,IT Outsourcing,Software Development Outsourcing,51-150,United States
2024-08-28 09:21:20.095789,Project Manager,MB Ageas Life,At office,IT Product,Financial Services,501-1000,Vietnam
2024-08-28 09:21:20.095789,Python,VNG Corporation,At office,IT Product,Software Products and Web Services,1000+,Vietnam
2024-08-28 09:21:20.095789,C#,Persol Career Tech Studio Vietnam,Hybrid,IT Product,Software Products and Web Services,1-50,Japan
2024-08-28 09:21:20.095789,Computer Vision,VNG Corporation,At office,IT Product,Software Products and Web Services,1000+,Vietnam
2024-08-28 09:21:20.095789,JavaScript,ABBANK,At office,Non-IT,Banking,1000+,Vietnam
2024-08-28 09:21:20.095789,DevOps,The Rep. Office of STYL Solutions Pte. Ltd. In HCMC,At office,IT Service and IT Consulting,Software Products and Web Services,51-150,Singapore
