Posted Date,Main Skill 1,Main Skill 2,Main Skill 3,Company,Workplace,Address,Company Type,Company Industry,Company Size,Country,Working Days,Overtime Policy
2024-08-28 09:21:20.095789,IT Support,System Engineer,System Admin,VNT Invest Group,At office,Ha Noi,Non-IT,Financial Services,1-50,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Computer Vision,Agile,NULL,Got It,At office,Ho Chi Minh,IT Product,Software Products and Web Services,151-300,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,IT Support,Computer Vision,NULL,"Esoft Vietnam., Ltd",At office,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Vietnam,Monday - Friday,
2024-08-28 09:21:20.095789,Android,Database,Kotlin,TP Entertainment,At office,Ha Noi,IT Product,IT Services and IT Consulting,51-150,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Software Architect,Oracle,Linux,ABBANK,At office,Ha Noi,Non-IT,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,English,Software Architect,Project Manager,RAKSUL Vietnam,Hybrid,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,Japan,Monday - Friday,No OT
2024-08-28 09:21:20.095789,System Admin,System Engineer,Networking,BYCN IT Vietnam,Hybrid,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,France,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Java,SQL,English,Chalasoft,At office,Ha Noi,IT Outsourcing,N/A,1-50,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Product Owner,English,Business Analyst,Intrepid Group Asia,Hybrid,Ho Chi Minh,IT Product,E-commerce,51-150,Singapore,Monday - Friday,Extra salary for OT
2024-08-28 09:21:20.095789,.NET,Software Architect,C#,Home Credit Vietnam,Hybrid,Ho Chi Minh,IT Product,Financial Services,1000+,Czechia,Monday - Friday,No OT
2024-08-28 09:21:20.095789,C#,SQL,Angular,TecAlliance Vietnam,Hybrid,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,Germany,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Product Manager,Agile,ERP,"MONEY FORWARD VIETNAM CO.,LTD",Hybrid,Ho Chi Minh - Ha Noi,IT Product,Financial Services,301-500,Japan,Monday - Friday,No OT
2024-08-28 09:21:20.095789,TypeScript,JavaScript,NodeJS,Fullerton Health,At office,Ho Chi Minh,IT Product,Healthcare,51-150,Singapore,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Java,Oracle,.NET,Sacombank,At office,Ho Chi Minh,Non-IT,Banking,1000+,Vietnam,Monday - Saturday,Extra salary for OT
2024-08-28 09:21:20.095789,JavaScript,CSS,ReactJS,LG Electronics Development Vietnam (LGEDV),Hybrid,Ha Noi,IT Product,Software Products and Web Services,1000+,South Korea,Monday - Friday,
2024-08-28 09:21:20.095789,Java,Spring,NULL,Giao Hàng Tiết Kiệm,At office,Ha Noi,IT Product,"Transportation, Logistics and Warehouse",1000+,Vietnam,Monday - Saturday,No OT
2024-08-28 09:21:20.095789,.NET,English,C#,"Esoft Vietnam., Ltd",Hybrid,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,501-1000,Vietnam,Monday - Friday,
2024-08-28 09:21:20.095789,.NET,C language,Java,Ngân hàng TMCP Thịnh vượng và Phát triển (PGBank),At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,
2024-08-28 09:21:20.095789,Product Manager,System Engineer,Team Leader,Trusting Social,At office,Ho Chi Minh,IT Service and IT Consulting,Financial Services,301-500,Singapore,Monday - Friday,
2024-08-28 09:21:20.095789,Java,Spring,Angular,LEAP,At office,Ho Chi Minh,IT Product,Professional Services,1-50,Vietnam,Monday - Friday,No OT
2024-08-28 09:21:20.095789,Automation Test,Team Leader,Java,"MONEY FORWARD VIETNAM CO.,LTD",Hybrid,Ho Chi Minh,IT Product,Financial Services,301-500,Japan,Monday - Friday,No OT
