Title,Skill 1,Skill 2,Skill 3,Skill 4,Company,Address 1,Address 2,Post date,Salary
Developer Fullstacks,,,,,CÔNG TY TNHH CÔNG NGHỆ BROTECH,Hồ Chí Minh: Bình Thạnh,,Đăng 1 tuần trước,1 - 2 triệu
Kỹ Sư Tester (Kiểm Thử),Tester,,,,DATATYK COMPANY LIMITED,Hồ Chí Minh: Quận 3,,Đăng 1 tuần trước,Thoả thuận
Kỹ Thuật Viên Vận Hành Hệ Thống,,,,,Công ty Cổ phần Phần mềm Vitex Việt Nam,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
Pre-Sales (Tư Vấn Giải Pháp - Mảng Bảo Mật),,,,,CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ ARCHER STUDIO,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,Thoả thuận
Business Analyst Intern ( Thực Tập Sinh BA),Business Analyst,,,,CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ ARCHER STUDIO,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,Thoả thuận
Lập Trình Viên Java (Dịch Vụ Trực Tuyến),Java,,,,Hệ thống Đào tạo Lập trình viên Quốc tế Aptech,Hà Nội: Ba Đình, Hai Bà Trưng,Đăng 1 tuần trước,"1,000 - 2,500 USD"
Senior Golang Developer,Golang,,,,Viettel IDC,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,10 - 18 triệu
Business Analyst,Business Analyst,,,,CÔNG TY CỔ PHẦN NEXAR,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,10 - 25 triệu
Thực Tập Sinh UX/UI - Intern UX/UI Designer,Designer,,,,CÔNG TY CỔ PHẦN NEXAR,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,11 - 35 triệu
Senior Adobe Commerce (Magento) Developer,Magento,,,,CÔNG TY CỔ PHẦN ICORP,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
Senior Business Analyst (Domain Fintech),Business Analyst,AI,,,Công ty Cổ phần Phần mềm Vitex Việt Nam,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
Senior Solution Architect (Domain Fintech),Solution Architect,AI,,,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ VÀ CÔNG NGHỆ PTCORP,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,10 - 12 triệu
"Chuyên Viên Quản Lý Sự Thay Đổi, Sự Cố Và SLA CNTT",,,,,CÔNG TY TNHH AMARIS VIỆT NAM,Hồ Chí Minh,,Đăng 1 tuần trước,Thoả thuận
Middle Java Developer,Java,,,,CÔNG TY TNHH RAKUS VIỆT NAM,Hồ Chí Minh: Quận 12,,Đăng 1 tuần trước,"900 - 1,600 USD"
Kỹ Sư Sản Phẩm NetApp,,,,,Công Ty Cổ Phần Digi Dinos,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Tới 2 triệu
Technical Leader Java,Java,Leader,,,Công ty TNHH AgileTech Việt Nam,Hà Nội: Thanh Xuân,,Đăng 1 tuần trước,Thoả thuận
Lập Trình Viên (Microservices),,,,,CÔNG TY CỔ PHẦN GMO-Z.com RUNSYSTEM,Hà Nội: Đống Đa,,Đăng 1 tuần trước,15 - 20 triệu
Chuyên Viên Phân Tích Dữ Liệu,,,,,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KỸ THUẬT TẦM NHÌN,Hồ Chí Minh: Quận 7,,Đăng 1 tuần trước,Thoả thuận
Trưởng Phòng Kinh Doanh,,,,,LOTTE DATA COMMUNICATION VIETNAM,Hà Nội: Ba Đình,,Đăng 1 tuần trước,Thoả thuận
Nhân Viên IT,,,,,IZISolution,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,Thoả thuận
Nhân Viên Kinh Doanh Phần Mềm,,,,,LOTTE DATA COMMUNICATION VIETNAM,Hà Nội: Ba Đình,,Đăng 1 tuần trước,"2,400 - 2,500 USD"
Trưởng Phòng Kinh Doanh,,,,,IZISolution,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,7 - 12 triệu
Intern Unity Dev,Unity,,,,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHỆ TRUYỀN THÔNG NAM VIỆT,Hà Nội: Cầu Giấy,,Đăng 1 tuần trước,15 - 30 triệu
Product Owner (Game Mobile),Product Owner,Mobile,Game,,Công ty TNHH Tư Vấn & Phát Triển Phần Mềm LARION,Hồ Chí Minh: Quận 12,,Đăng 1 tuần trước,Thoả thuận
Senior Technical Developer,,,,,Công ty TNHH Tư Vấn & Phát Triển Phần Mềm LARION,Hồ Chí Minh: Quận 12,,Đăng 1 tuần trước,Thoả thuận
Nhân Viên SEO Web,Web,,,,CÔNG TY TNHH PHẦN MỀM FPT,Hà Nội: Thạch Thất,,Đăng 1 tuần trước,Thoả thuận
Middle Angular Developer,Angular,,,,CÔNG TY CỔ PHẦN INTELNET,Hồ Chí Minh: Bình Thạnh,,Đăng 1 tuần trước,9 - 20 triệu
Middle Sales IT Japan (Làm Việc Tại Nhật),,,,,SHINHAN FINANCE,Hồ Chí Minh: Tân Bình,,Đăng 1 tuần trước,"1,000 - 2,500 USD"
Fresher/Junior Sales IT (Làm Việc Tại Nhật),,,,,SHINHAN FINANCE,Hồ Chí Minh: Tân Bình,,Đăng 1 tuần trước,"800 - 1,500 USD"
Korea Business Development - Sales IT (Tiếng Hàn),,,,,SHINHAN FINANCE,Hồ Chí Minh: Tân Bình,,Đăng 1 tuần trước,"1,000 - 1,500 USD"
Middle QA Manual Tester (English Market),English,Tester,,,SHINHAN FINANCE,Hồ Chí Minh: Tân Bình,,Đăng 1 tuần trước,Thoả thuận
